Time_Start,Time_End,Renko_Open,Renko_Close,Volume_Total
18:00:05,18:00:20,18595,18590,218
18:00:25,18:00:45,18600,18605,246
18:00:50,18:00:50,18605,18610,53
18:00:55,18:00:55,18615,18620,69
18:01:00,18:01:20,18625,18630,289
18:01:25,18:01:25,18630,18635,50
18:01:30,18:02:55,18635,18640,434
18:03:00,18:03:25,18635,18630,434
18:03:30,18:04:00,18630,18625,89
18:04:05,18:04:05,18630,18635,106
18:04:10,18:04:10,18635,18640,17
18:04:15,18:04:15,18640,18645,15
18:04:20,18:05:00,18645,18650,165
18:05:05,18:07:00,18650,18655,309
18:07:05,18:07:35,18650,18645,82
18:07:40,18:07:45,18645,18640,38
18:07:50,18:08:25,18640,18635,105
18:08:30,18:09:05,18635,18630,100
18:09:10,18:09:35,18635,18640,116
18:09:40,18:10:35,18640,18645,77
18:10:40,18:10:55,18640,18635,22
18:11:00,18:13:10,18635,18630,196
18:13:15,18:13:25,18625,18620,108
18:13:30,18:13:30,18620,18615,30
18:13:35,18:14:00,18615,18610,183
18:14:05,18:14:10,18610,18605,57
18:14:05,18:14:10,18605,18600,57
18:14:05,18:14:10,18600,18595,57
18:14:15,18:14:55,18595,18590,266
18:14:15,18:14:55,18590,18585,0
18:14:15,18:14:55,18585,18580,0
18:14:15,18:14:55,18580,18575,0
18:14:15,18:14:55,18575,18570,0
18:14:15,18:14:55,18570,18565,0
18:14:15,18:14:55,18565,18560,0
18:15:55,18:15:55,18555,18560,37
18:16:00,18:16:05,18560,18565,58
18:16:10,18:16:25,18560,18555,94
18:16:30,18:16:35,18555,18550,48
18:16:40,18:16:45,18550,18545,26
18:16:50,18:17:10,18545,18540,71
18:17:15,18:17:30,18545,18550,46
18:17:35,18:17:40,18540,18535,41
18:17:45,18:18:15,18535,18530,167
18:18:20,18:18:20,18535,18540,13
18:18:25,18:18:30,18540,18545,52
18:18:35,18:18:35,18545,18550,10
18:18:40,18:19:55,18550,18555,159
18:20:00,18:20:35,18555,18560,124
18:20:40,18:21:35,18555,18550,62
18:21:40,18:21:40,18550,18545,40
18:21:45,18:23:05,18545,18540,167
18:23:10,18:26:05,18545,18550,157
18:26:10,18:26:55,18545,18540,58
18:27:00,18:27:05,18545,18550,21
18:27:10,18:28:10,18550,18555,166
18:28:15,18:28:20,18545,18540,37
18:28:25,18:31:50,18555,18560,192
18:32:00,18:34:35,18555,18550,81
18:34:40,18:34:50,18555,18560,20
18:34:55,18:35:00,18560,18565,53
18:35:05,18:36:45,18565,18570,102
18:36:50,18:37:10,18570,18575,50
18:37:15,18:39:50,18575,18580,349
18:39:55,18:40:20,18575,18570,48
18:40:25,18:41:00,18570,18565,53
18:41:05,18:41:50,18570,18575,33
18:42:05,18:42:30,18575,18580,35
18:42:35,18:46:10,18580,18585,171
18:46:15,18:46:40,18580,18575,26
18:46:45,18:48:55,18575,18570,70
18:49:20,18:50:25,18575,18580,32
18:50:40,18:51:20,18575,18570,52
18:51:25,18:52:40,18570,18565,58
18:52:45,18:53:05,18580,18585,207
18:53:10,18:53:10,18585,18590,18
18:53:15,18:54:00,18590,18595,136
18:54:05,18:55:00,18595,18600,122
18:55:05,18:55:40,18600,18605,61
18:55:45,18:58:35,18600,18595,160
18:58:40,18:59:30,18600,18605,99
18:59:40,19:01:25,18600,18595,126
19:01:30,19:03:05,18600,18605,116
19:03:10,19:03:10,18605,18610,88
19:03:15,19:04:15,18610,18615,194
